POSTED DATE,TRANSACTION DATE,TRANSACTION TIME,TRANSACTION NUMBER,TRANSPONDER/LICENSE PLATE,AGENCY NAME,LANE,AXLE,DESCRPTION / PLAZA NAME,AMOUNT
11/06/2020,10/17/2020,04:00:46 AM,32311833513,2852189-IN,Miami-Dade Expressway Authority,62S,3,SR 924 WEST (42ND AVE),($0.94)
11/06/2020,10/17/2020,03:01:08 AM,32311833494,2852174-IN,Miami-Dade Expressway Authority,63S,2,SR 874 SOUTH (AT SR826),($0.47)
11/06/2020,10/17/2020,04:02:24 AM,32311833501,2852189-IN,Miami-Dade Expressway Authority,82S,3,SR 924 WEST (57TH AVE),($0.94)
11/06/2020,10/17/2020,03:04:12 AM,32311833485,2852174-IN,Miami-Dade Expressway Authority,82S,3,SR 874 SOUTH (KILLIAN),($0.46)
11/06/2020,10/16/2020,11:56:37 PM,32311833379,2852184-IN,Miami-Dade Expressway Authority,83S,5,SR836 WEST (AT 137TH AVE),($0.56)
11/06/2020,10/17/2020,03:15:33 AM,32311833498,2852189-IN,Miami-Dade Expressway Authority,23S,5,SR 924 EAST (57TH AVE),($0.94)
11/06/2020,10/17/2020,02:47:36 AM,32311833479,2852174-IN,Miami-Dade Expressway Authority,82S,3,SR 924 WEST (57TH AVE),($0.94)
11/06/2020,10/16/2020,10:20:32 PM,32311833292,2852187-IN,Miami-Dade Expressway Authority,82S,5,SR836 WEST (AT 137TH AVE),($0.56)
11/06/2020,10/16/2020,10:06:40 PM,32311833221,2852183-IN,Miami-Dade Expressway Authority,62S,3,SR 874 SOUTH (AT SR826),($0.94)
11/06/2020,10/16/2020,10:17:15 PM,32311833266,2852187-IN,Miami-Dade Expressway Authority,63S,5,SR836 WEST (AT 97TH AVE),($1.32)
11/06/2020,10/16/2020,09:52:41 PM,32311833209,2852183-IN,Miami-Dade Expressway Authority,82S,3,SR 924 WEST (57TH AVE),($0.94)
11/06/2020,10/16/2020,09:24:21 PM,32311830160,2852172-IN,Miami-Dade Expressway Authority,22S,5,SR836 EAST (AT 137TH AVE),($0.56)
11/06/2020,10/16/2020,10:02:46 PM,32311809785,2852180-IN,Miami-Dade Expressway Authority,22S,5,SR836 EAST (AT 137TH AVE),($0.56)
